origin,destination,distance
"115.428712,33.195567","121.473667,31.230525",674320
"115.428712,33.195567","121.265276,31.375566",659524
"115.428712,33.195567","121.397662,31.623863",756003
"115.428712,33.195567","121.39547,31.249618",665216
"115.428712,33.195567","121.227676,31.03257",681566
"115.428712,33.195567","121.544346,31.221461",696456
"115.428712,33.195567","121.341774,30.742769",712204
"115.428712,33.195567","121.124249,31.15098",661688
"115.428712,33.195567","104.166713,24.05064",2057486
"115.428712,33.195567","100.088837,23.884175",2416215
"115.428712,33.195567","102.707262,25.043635",1936049
"115.428712,33.195567","103.297155,26.417116",1820695
"115.428712,33.195567","99.161489,25.112018",2404517
"115.428712,33.195567","101.87434,25.704499",2055193
"115.428712,33.195567","100.301614,25.678466",2244607
"115.428712,33.195567","100.267608,25.606548",2238554
"115.428712,33.195567","102.748888,24.950285",1949280
"115.428712,33.195567","104.104255,26.218956",1732161
"115.428712,33.195567","100.590274,25.830491",2195292
"115.428712,33.195567","103.043384,25.327273",1881339
"115.428712,33.195567","102.826178,23.635824",2093056
"115.428712,33.195567","103.266908,23.714518",2041369
"115.428712,33.195567","103.414817,24.411774",1982304
"115.428712,33.195567","98.585621,24.433146",2541925
"115.428712,33.195567","100.977069,22.786769",2339175
"115.428712,33.195567","104.233237,23.38683",2030076
"115.428712,33.195567","102.833669,24.88149",1941019
"115.428712,33.195567","103.717078,27.338185",1691489
"115.428712,33.195567","100.799595,22.011792",2462648
"115.428712,33.195567","103.796288,25.490866",1798040
"115.428712,33.195567","101.528304,25.045678",2078028
"115.428712,33.195567","102.526673,24.346786",2016225
"115.428712,33.195567","97.855423,24.018377",2633432
"115.428712,33.195567","102.496138,23.705707",2132342
"115.428712,33.195567","104.336905,23.605075",1996188
"115.428712,33.195567","102.420566,23.368946",2198755
"115.428712,33.195567","99.397126,23.538092",2509343
"115.428712,33.195567","98.490276,25.020283",2542111
"115.428712,33.195567","103.364936,23.396111",2087405
"115.428712,33.195567","102.725538,24.11114",2031735
"115.428712,33.195567","104.873486,27.441527",1581013
"115.428712,33.195567","103.66671,25.0293",1859003
"115.428712,33.195567","104.394524,23.013108",2090823
"115.428712,33.195567","110.044008,40.57626",1251740
"115.428712,33.195567","107.363536,40.750969",1437139
"115.428712,33.195567","113.132227,40.994526",1140464
"115.428712,33.195567","122.093309,46.072233",1925610
"115.428712,33.195567","108.652114,40.737018",1426850
"115.428712,33.195567","106.79415,39.655048",1394585
"115.428712,33.195567","108.267466,41.088446",1484877
"115.428712,33.195567","109.747435,39.565064",1200232
"115.428712,33.195567","109.95315,40.621327",1323225
"115.428712,33.195567","119.77845,49.166536",2315553
"115.428712,33.195567","111.748814,40.842127",1227577
"115.428712,33.195567","113.577778,41.562176",1196192
"115.428712,33.195567","119.320056,41.600193",1212223
"115.428712,33.195567","119.362832,43.961547",1537585
"115.428712,33.195567","122.708475,48.028396",2177953
"115.428712,33.195567","120.917953,44.567093",1696307
"115.428712,33.195567","111.193879,40.277703",1137419
"115.428712,33.195567","119.921413,42.290731",1374902
"115.428712,33.195567","118.05545,43.61812",1492478
"115.428712,33.195567","120.711639,49.285947",2497844
"115.428712,33.195567","111.674157,40.753054",1230433
"115.428712,33.195567","122.25545,43.623133",1616373
"115.428712,33.195567","118.887613,42.256876",1279578
"115.428712,33.195567","110.034133,40.412766",1297610
"115.428712,33.195567","122.243309,43.653566",1620966
"115.428712,33.195567","116.085814,43.933417",1440921
"115.428712,33.195567","109.902157,40.644081",1327558
"115.428712,33.195567","116.286726,39.858538",854910
"115.428712,33.195567","116.341483,39.726917",834727
"115.428712,33.195567","115.974609,40.457033",956946
"115.428712,33.195567","116.631974,40.317003",921826
"115.428712,33.195567","116.143426,39.748889",853625
"115.428712,33.195567","116.443136,39.921444",865311
"115.428712,33.195567","116.72923,39.916403",878341
"115.428712,33.195567","116.661474,40.149891",906969
"115.428712,33.195567","124.040651,45.003539",1814087
"115.428712,33.195567","125.184921,44.432829",1821548
"115.428712,33.195567","126.549719,43.838132",1848234
"115.428712,33.195567","124.350599,43.166764",1637012
"115.428712,33.195567","125.325802,43.896942",1750902
"115.428712,33.195567","129.507655,42.891034",2097423
"115.428712,33.195567","125.728552,44.521788",1837740
"115.428712,33.195567","124.825321,45.14191",1848151
"115.428712,33.195567","125.711129,42.539183",1678832
"115.428712,33.195567","126.533126,44.840263",1930220
"115.428712,33.195567","122.838102,45.620131",1889512
"115.428712,33.195567","126.414274,41.944132",1762427
"115.428712,33.195567","125.144676,42.887961",1662152
"115.428712,33.195567","123.088093,44.812912",1796770
"115.428712,33.195567","123.967244,44.276293",1734483
"115.428712,33.195567","125.323643,43.816996",1742315
"115.428712,33.195567","104.678601,31.03327",1280038
"115.428712,33.195567","104.167345,31.12655",1323714
"115.428712,33.195567","104.133931,29.995638",1413689
"115.428712,33.195567","106.303082,31.271693",1107523
"115.428712,33.195567","102.244774,26.655047",1955396
"115.428712,33.195567","105.057992,29.58021",1370015
"115.428712,33.195567","106.110565,30.837235",1179420
"115.428712,33.195567","106.036349,31.348255",1143030
"115.428712,33.195567","103.92342,30.574884",1383639
"115.428712,33.195567","105.444777,28.155631",1428961
"115.428712,33.195567","107.204702,30.736222",1076925
"115.428712,33.195567","103.571313,29.738143",1489269
"115.428712,33.195567","104.669032,29.527456",1400984
"115.428712,33.195567","104.642826,28.752354",1439385
"115.428712,33.195567","104.975193,29.181779",1381323
"115.428712,33.195567","106.440056,30.538656",1194578
"115.428712,33.195567","104.409766,31.441636",1287736
"115.428712,33.195567","103.484557,29.601189",1513651
"115.428712,33.195567","106.747548,31.867853",1023889
"115.428712,33.195567","107.103613,31.560436",1032984
"115.428712,33.195567","105.844004,32.435774",1160658
"115.428712,33.195567","106.632647,30.456354",1172627
"115.428712,33.195567","104.282204,30.977264",1326417
"115.428712,33.195567","107.868609,31.082945",1044883
"115.428712,33.195567","104.397795,31.127449",1304630
"115.428712,33.195567","104.066301,30.572961",1363739
"115.428712,33.195567","101.71846,26.582417",1996764
"115.428712,33.195567","104.043246,30.641849",1363881
"115.428712,33.195567","106.295945,30.349493",1206626
"115.428712,33.195567","104.74564,31.778572",1248172
"115.428712,33.195567","105.381879,29.1516",1357317
"115.428712,33.195567","105.441866,28.87098",1348311
"115.428712,33.195567","106.973114,30.836504",1100166
"115.428712,33.195567","101.509038,27.422593",1913074
"115.428712,33.195567","103.848417,30.077113",1436331
"115.428712,33.195567","104.511159,28.167981",1506375
"115.428712,33.195567","104.547644,30.410937",1352201
"115.428712,33.195567","104.220679,31.339251",1305299
"115.428712,33.195567","104.679127,31.467673",1261407
"115.428712,33.195567","104.619853,28.766537",1443127
"115.428712,33.195567","105.934756,31.731709",1125709
"115.428712,33.195567","104.417438,29.445461",1428560
"115.428712,33.195567","106.565524,31.077057",1108486
"115.428712,33.195567","102.264166,27.89441",1805431
"115.428712,33.195567","104.851874,29.763419",1389912
"115.428712,33.195567","104.627265,30.129236",1351918
"115.428712,33.195567","107.46778,31.209278",1019911
"115.428712,33.195567","105.592602,30.53268",1231767
"115.428712,33.195567","106.930242,30.334911",1138576
"115.428712,33.195567","104.052236,30.691359",1357010
"115.428712,33.195567","105.287507,29.339408",1337668
"115.428712,33.195567","103.041538,30.009998",1495823
"115.428712,33.195567","104.27536,30.556808",1358612
"115.428712,33.195567","117.313567,39.086789",804283
"115.428712,33.195567","117.135614,39.224638",805566
"115.428712,33.195567","117.69641,39.017809",825972
"115.428712,33.195567","117.201509,39.085318",796537
"115.428712,33.195567","117.597183,39.024984",811983
"115.428712,33.195567","116.975474,38.947772",764492
"115.428712,33.195567","105.19677,37.500185",1328888
"115.428712,33.195567","105.684729,37.492092",1277197
"115.428712,33.195567","106.212479,37.984586",1250913
"115.428712,33.195567","105.895412,36.954635",1236053
"115.428712,33.195567","106.24267,36.01628",1118701
"115.428712,33.195567","105.643449,36.565189",1222897
"115.428712,33.195567","106.382792,38.984632",1304807
"115.428712,33.195567","106.230977,38.487783",1246760
"115.428712,33.195567","115.26312,33.038884",29149
"115.428712,33.195567","117.881312,33.126532",259236
"115.428712,33.195567","118.274149,32.08593",357381
"115.428712,33.195567","116.519729,31.735892",246392
"115.428712,33.195567","116.710947,32.710536",174128
"115.428712,33.195567","116.206396,33.158424",91433
"115.428712,33.195567","117.310133,31.793801",299025
"115.428712,33.195567","118.334083,30.914621",467715
"115.428712,33.195567","118.101448,31.735559",384573
"115.428712,33.195567","118.353668,31.74248",409734
"115.428712,33.195567","117.316585,33.318371",253534
"115.428712,33.195567","119.004838,32.667409",400019
"115.428712,33.195567","115.621941,33.160327",24577
"115.428712,33.195567","116.30881,30.454198",414783
"115.428712,33.195567","117.698528,32.530741",276659
"115.428712,33.195567","118.759127,30.939278",485916
"115.428712,33.195567","116.96419,33.647726",188030
"115.428712,33.195567","116.798203,32.545027",197951
"115.428712,33.195567","116.359732,30.849716",343682
"115.428712,33.195567","117.890236,31.624464",362496
"115.428712,33.195567","118.336799,29.827291",590368
"115.428712,33.195567","116.829612,30.73484",402196
"115.428712,33.195567","117.902265,31.304462",405096
"115.428712,33.195567","118.018197,32.78193",274410
"115.428712,33.195567","116.70641,30.128404",441687
"115.428712,33.195567","117.250191,30.705466",410013
"115.428712,33.195567","116.936588,31.035476",358668
"115.428712,33.195567","118.415258,29.861354",597433
"115.428712,33.195567","117.910277,33.483686",318078
"115.428712,33.195567","118.419552,30.688793",501367
"115.428712,33.195567","116.21665,33.494134",99595
"115.428712,33.195567","118.333439,32.255904",344465
"115.428712,33.195567","116.581224,30.631022",384009
"115.428712,33.195567","116.76616,33.915612",219527
"115.428712,33.195567","117.549321,33.554464",291443
"115.428712,33.195567","115.374688,33.257799",14539
"115.428712,33.195567","116.795233,33.959927",208914
"115.428712,33.195567","116.366257,34.442139",262249
"115.428712,33.195567","117.717452,29.854179",528844
"115.428712,33.195567","118.578519,30.067533",584547
"115.428712,33.195567","117.4779,31.878601",315007
"115.428712,33.195567","117.158416,31.707006",299697
"115.428712,33.195567","118.576124,31.134809",461106
"115.428712,33.195567","118.433065,31.352614",424073
"115.428712,33.195567","116.947289,34.18884",275645
"115.428712,33.195567","117.26053,31.851211",290358
"115.428712,33.195567","119.184326,31.142995",516661
"115.428712,33.195567","117.811298,30.945214",449316
"115.428712,33.195567","115.596003,32.659681",86455
"115.428712,33.195567","115.814252,32.891032",60202
"115.428712,33.195567","116.256772,32.653211",136502
"115.428712,33.195567","118.50685,31.668765",444565
"115.428712,33.195567","118.337643,29.714886",577203
"115.428712,33.195567","115.107402,35.275664",289818
"115.428712,33.195567","116.247655,36.335198",454718
"115.428712,33.195567","118.543274,36.51246",659800
"115.428712,33.195567","115.704982,36.83828",479023
"115.428712,33.195567","116.866568,37.190139",565560
"115.428712,33.195567","116.605763,35.444226",382377
"115.428712,33.195567","116.78365,35.551938",399192
"115.428712,33.195567","118.070912,34.858235",443407
"115.428712,33.195567","115.441684,36.484011",438341
"115.428712,33.195567","118.255084,37.490919",684685
"115.428712,33.195567","116.106396,34.779282",254042
"115.428712,33.195567","118.110715,37.154529",654150
"115.428712,33.195567","120.447691,36.390217",764154
"115.428712,33.195567","117.869686,36.80309",602390
"115.428712,33.195567","117.157165,37.309694",592512
"115.428712,33.195567","116.342308,35.40794",364267
"115.428712,33.195567","116.001796,36.948013",491042
"115.428712,33.195567","116.987106,36.678665",508769
"115.428712,33.195567","122.120519,37.513315",975547
"115.428712,33.195567","116.805578,35.758919",426109
"115.428712,33.195567","119.21892,36.479642",719237
"115.428712,33.195567","116.062585,35.388543",331379
"115.428712,33.195567","116.434016,37.165453",562519
"115.428712,33.195567","119.970192,36.753895",772351
"115.428712,33.195567","117.615201,35.516849",488964
"115.428712,33.195567","116.455865,36.289813",436785
"115.428712,33.195567","118.419437,37.053915",661019
"115.428712,33.195567","118.017877,36.807011",614779
"115.428712,33.195567","117.129188,34.806657",396322
"115.428712,33.195567","116.359244,37.436492",565655
"115.428712,33.195567","115.889775,34.95278",254670
"115.428712,33.195567","120.433904,37.354517",848303
"115.428712,33.195567","122.08832,37.196032",939081
"115.428712,33.195567","117.625846,37.770579",666843
"115.428712,33.195567","119.52685,35.416912",598359
"115.428712,33.195567","118.841035,36.688035",692694
"115.428712,33.195567","119.403185,36.843256",738369
"115.428712,33.195567","116.986212,35.581933",421470
"115.428712,33.195567","115.556393,34.85875",240482
"115.428712,33.195567","120.432652,36.145987",726853
"115.428712,33.195567","117.323759,34.810858",385876
"115.428712,33.195567","120.849595,37.335993",856242
"115.428712,33.195567","116.131779,35.765957",373208
"115.428712,33.195567","116.069312,37.213398",517297
"115.428712,33.195567","116.497277,35.711891",393111
"115.428712,33.195567","118.465259,35.550078",543180
"115.428712,33.195567","118.628142,35.790919",592686
"115.428712,33.195567","118.403073,35.088936",497344
"115.428712,33.195567","118.525519,37.886217",732922
"115.428712,33.195567","118.098962,37.698952",681501
"115.428712,33.195567","117.086963,36.201784",478624
"115.428712,33.195567","117.120128,36.652069",514752
"115.428712,33.195567","116.587116,35.415117",384157
"115.428712,33.195567","121.173506,36.688316",840416
"115.428712,33.195567","118.054994,36.813787",621015
"115.428712,33.195567","117.966978,36.644211",596383
"115.428712,33.195567","117.165881,35.11412",406766
"115.428712,33.195567","117.970731,37.382687",652223
"115.428712,33.195567","119.161721,36.707668",719299
"115.428712,33.195567","121.601015,37.387454",942766
"115.428712,33.195567","116.638558,36.934198",530514
"115.428712,33.195567","117.526228,36.681258",559803
"115.428712,33.195567","116.769098,36.181975",448560
"115.428712,33.195567","120.033382,36.26468",710148
"115.428712,33.195567","121.400303,37.541312",909327
"115.428712,33.195567","116.254865,36.580814",466261
"115.428712,33.195567","122.487036,37.165698",975681
"115.428712,33.195567","115.669843,36.233711",397351
"115.428712,33.195567","119.942057,37.178187",816716
"115.428712,33.195567","115.479646,35.234309",273467
"115.428712,33.195567","117.953367,35.720128",537560
"115.428712,33.195567","120.829141,37.795697",906150
"115.428712,33.195567","117.263524,34.795339",383787
"115.428712,33.195567","119.410051,35.996404",673268
"115.428712,33.195567","117.9776,35.265851",482172
"115.428712,33.195567","117.74313,36.863393",587611
"115.428712,33.195567","115.938939,35.575276",330584
"115.428712,33.195567","118.36727,34.614077",432353
"115.428712,33.195567","116.752101,36.554251",475029
"115.428712,33.195567","115.791822,36.114392",391519
"115.428712,33.195567","116.576148,37.336444",577312
"115.428712,33.195567","118.479637,36.685178",666710
"115.428712,33.195567","119.755271,36.382973",720447
"115.428712,33.195567","117.826743,37.171042",625242
"115.428712,33.195567","116.650526,35.012706",351924
"115.428712,33.195567","120.175472,35.962885",689975
"115.428712,33.195567","116.762767,36.784164",514095
"115.428712,33.195567","120.47614,37.645281",891233
"115.428712,33.195567","110.837957,35.415805",602413
"115.428712,33.195567","111.51931,36.088581",632611
"115.428712,33.195567","110.774553,35.144406",594988
