address,"lng,lat"
安徽省界首市田营工业区,"115.428712,33.195567"
上海上海市,"121.473667,31.230525"
上海嘉定区,"121.265276,31.375566"
上海崇明区,"121.397662,31.623863"
上海普陀区,"121.39547,31.249618"
上海松江区,"121.227676,31.03257"
上海浦东,"121.544346,31.221461"
上海浦东新区,"121.544346,31.221461"
上海金山区,"121.341774,30.742769"
上海青浦区,"121.124249,31.15098"
云南丘北县,"104.166713,24.05064"
云南临沧市,"100.088837,23.884175"
云南五华区,"102.707262,25.043635"
云南会泽县,"103.297155,26.417116"
云南保山市,"99.161489,25.112018"
云南元谋县,"101.87434,25.704499"
云南大理市,"100.301614,25.678466"
云南大理白族自治州,"100.267608,25.606548"
云南官渡区,"102.748888,24.950285"
云南宣威市,"104.104255,26.218956"
云南宾川县,"100.590274,25.830491"
云南嵩明县,"103.043384,25.327273"
云南建水县,"102.826178,23.635824"
云南开远市,"103.266908,23.714518"
云南弥勒县,"103.414817,24.411774"
云南德宏傣族景颇族自治州,"98.585621,24.433146"
云南德宏自治州,"98.585621,24.433146"
云南思茅区,"100.977069,22.786769"
云南文山县,"104.233237,23.38683"
云南昆明市,"102.833669,24.88149"
云南昭通市,"103.717078,27.338185"
云南景洪市,"100.799595,22.011792"
云南曲靖市,"103.796288,25.490866"
云南楚雄市,"101.528304,25.045678"
云南楚雄彝族自治州,"101.528304,25.045678"
云南玉溪市,"102.526673,24.346786"
云南瑞丽市,"97.855423,24.018377"
云南石屏县,"102.496138,23.705707"
云南砚山县,"104.336905,23.605075"
云南红河县,"102.420566,23.368946"
云南耿马傣族佤族自治县,"99.397126,23.538092"
云南腾冲县,"98.490276,25.020283"
云南蒙自县,"103.364936,23.396111"
云南通海县,"102.725538,24.11114"
云南镇雄县,"104.873486,27.441527"
云南陆良县,"103.66671,25.0293"
云南马关县,"104.394524,23.013108"
内蒙古东河区,"110.044008,40.57626"
内蒙古临河区,"107.363536,40.750969"
内蒙古乌兰察布市,"113.132227,40.994526"
内蒙古乌兰浩特市,"122.093309,46.072233"
内蒙古乌拉特前旗,"108.652114,40.737018"
内蒙古乌海市,"106.79415,39.655048"
内蒙古五原县,"108.267466,41.088446"
内蒙古伊金霍洛旗,"109.747435,39.565064"
内蒙古包头市,"109.95315,40.621327"
内蒙古呼伦贝尔市,"119.77845,49.166536"
内蒙古呼和浩特市,"111.748814,40.842127"
内蒙古商都县,"113.577778,41.562176"
内蒙古宁城县,"119.320056,41.600193"
内蒙古巴林左旗,"119.362832,43.961547"
内蒙古扎兰屯市,"122.708475,48.028396"
内蒙古扎鲁特旗,"120.917953,44.567093"
内蒙古托克托县,"111.193879,40.277703"
内蒙古敖汉旗,"119.921413,42.290731"
内蒙古林西县,"118.05545,43.61812"
内蒙古牙克石市,"120.711639,49.285947"
内蒙古玉泉区,"111.674157,40.753054"
内蒙古科尔沁区,"122.25545,43.623133"
内蒙古赤峰市,"118.887613,42.256876"
内蒙古达拉特旗,"110.034133,40.412766"
内蒙古通辽市,"122.243309,43.653566"
内蒙古锡林浩特市,"116.085814,43.933417"
内蒙古青山区,"109.902157,40.644081"
北京丰台区,"116.286726,39.858538"
北京大兴区,"116.341483,39.726917"
北京延庆县,"115.974609,40.457033"
北京怀柔区,"116.631974,40.317003"
北京房山区,"116.143426,39.748889"
北京朝阳区,"116.443136,39.921444"
北京通州区,"116.72923,39.916403"
北京顺义区,"116.661474,40.149891"
吉林乾安县,"124.040651,45.003539"
吉林农安县,"125.184921,44.432829"
吉林吉林市,"126.549719,43.838132"
吉林四平市,"124.350599,43.166764"
吉林大安县,"125.325802,43.896942"
吉林延吉市,"129.507655,42.891034"
吉林德惠市,"125.728552,44.521788"
吉林松原市,"124.825321,45.14191"
吉林梅河口市,"125.711129,42.539183"
吉林榆树市,"126.533126,44.840263"
吉林白城市,"122.838102,45.620131"
吉林白山市,"126.414274,41.944132"
吉林辽源市,"125.144676,42.887961"
吉林通榆县,"123.088093,44.812912"
吉林长岭县,"123.967244,44.276293"
吉林长春市,"125.323643,43.816996"
